"","length_hostname","ip","special_char","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","nb_subdomains","prefix_suffix","nb_redirection","char_repeat","shortest_words_raw","phish_hints","domain_registration_length","domain_age","web_traffic","google_index","page_rank","status"
"60",15,"0",14,0,0,0,0,"0",0.080808081,0,2,"0",0,2,1,1,7.99799931797973,8348,0.693147180559945,"1",10,"1"
"61",27,"0",7,1,0,0,0,"0",0,0,2,"0",1,3,3,0,5.75574221358691,6989,14.6055080952832,"1",4,"0"
"62",35,"0",11,0,0,0,0,"1",0.033333333,0.057142857,3,"1",0,3,1,2,5.43372200355424,5615,0,"1",5,"1"
"63",19,"0",17,0,0,0,0,"1",0.081081081,0,3,"0",1,2,1,0,7.39694860262101,9327,8.30745932701195,"0",5,"0"
"64",18,"0",11,1,0,0,0,"1",0,0,3,"1",1,3,3,0,4.53259949315326,3561,8.70134640303916,"0",4,"0"
"65",32,"0",7,0,0,0,0,"0",0.125,0.15625,3,"0",0,1,1,0,5.44241771052179,5614,0,"0",5,"1"
"66",24,"0",8,1,0,0,0,"1",0.038461538,0,3,"0",0,5,3,0,5.00394630594546,5408,0,"1",1,"1"
"67",24,"0",14,0,2,0,0,"0",0,0,3,"0",1,3,3,0,7.99867136101578,8346,0.693147180559945,"1",10,"1"
"68",12,"0",10,0,0,0,0,"1",0.027027027,0,2,"0",1,2,4,0,8.08764028777898,5877,10.1100137980269,"0",5,"0"
"69",16,"0",9,1,0,0,0,"1",0.065217391,0,2,"1",2,4,3,0,5.66642668811243,2633,6.71901315438526,"1",7,"0"
"70",17,"0",8,1,0,0,0,"1",0,0,3,"0",1,4,3,0,6.67582322163485,6512,14.3346417944391,"0",4,"0"
"72",16,"0",8,0,0,0,0,"0",0,0,2,"0",0,0,2,0,6.80461452006262,7134,2.56494935746154,"1",7,"0"
"73",15,"0",11,1,0,0,0,"1",0,0,2,"0",0,6,3,0,4.63472898822964,9394,7.16626597413364,"0",6,"0"
"74",13,"0",14,0,1,0,0,"1",0,0,3,"1",0,0,2,2,0,5044,0,"1",0,"1"
"75",17,"0",10,0,0,0,0,"1",0.06779661,0,3,"0",0,1,3,1,6.98378996525813,2573,0,"1",0,"1"
"76",38,"0",8,0,0,0,0,"0",0.01754386,0.026315789,3,"0",0,0,4,0,6.85118492749374,1246,8.86064104177388,"1",4,"1"
"77",12,"0",7,0,0,0,0,"1",0,0,1,"1",1,2,3,0,3.93182563272433,2872,9.03610602536485,"0",3,"0"
"78",25,"0",8,1,0,0,0,"1",0,0,2,"0",0,3,3,0,5.36129216570943,4537,0,"1",1,"1"
"79",16,"0",7,0,0,0,0,"0",0,0,2,"0",0,0,2,0,6.80572255341699,7133,2.56494935746154,"0",7,"0"
"80",29,"0",5,0,0,0,0,"1",0.027777778,0.034482759,2,"0",1,1,8,0,5.92692602597041,7295,0,"1",5,"1"
"81",18,"0",10,0,0,0,0,"1",0.038461538,0,2,"0",1,1,2,1,4.82028156560504,973,15.9242727667376,"1",2,"1"
"82",24,"1",6,0,0,0,0,"1",0.25,0.333333333,2,"0",1,8,8,0,5.92692602597041,7296,0,"1",5,"1"
"83",11,"0",5,0,0,0,0,"0",0,0,1,"0",0,2,7,0,5.19295685089021,7491,4.15888308335967,"0",10,"0"
"86",12,"0",17,1,0,0,0,"1",0.058823529,0,2,"0",1,3,3,0,5.78074351579233,8442,10.6713478792379,"0",5,"0"
"87",23,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,7.81237820598861,2277,14.701953029708,"0",3,"0"
"88",20,"0",6,1,0,0,0,"0",0,0,2,"0",0,4,3,0,3.3322045101752,1800,0,"0",3,"0"
"90",21,"0",9,1,0,0,0,"0",0.06779661,0,2,"0",1,4,3,1,4.18965474202643,3952,15.1669362619817,"0",4,"0"
"91",19,"0",8,0,0,0,0,"1",0,0,2,"0",1,1,3,0,5.55682806169954,4855,11.76082406595,"0",4,"0"
"92",10,"1",9,0,1,0,1,"1",0.271523179,0,3,"0",0,10,3,0,5.3082676974012,166,0,"1",0,"1"
"93",25,"0",14,1,0,0,0,"1",0.035714286,0,3,"0",1,6,1,0,6.48463523563525,4093,10.8673677280032,"0",4,"0"
"96",16,"0",6,1,0,0,0,"0",0,0,2,"0",0,4,3,0,7.94058382710424,8516,2.19722457733622,"0",10,"0"
"97",19,"0",7,1,0,0,0,"0",0,0,2,"1",0,3,3,0,5.85220247977447,7689,12.8523797592443,"0",3,"0"
"98",16,"0",8,1,0,0,0,"1",0,0,3,"1",1,4,3,0,5.69035945432406,5913,11.367471855746,"0",5,"0"
"100",12,"0",6,0,0,0,0,"1",0,0,1,"0",0,0,2,0,5.48893772615669,4141,0,"1",0,"1"
"102",20,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,3.91202300542815,317,0,"0",0,"1"
"103",15,"0",7,1,0,0,0,"0",0,0,2,"0",0,4,3,0,7.60589000105312,4566,10.7020302481414,"0",5,"0"
"105",14,"0",11,1,0,0,0,"1",0.038461538,0,3,"0",0,4,3,0,6.08449941307517,657,0,"1",0,"1"
"108",50,"1",10,0,1,0,0,"1",0.105263158,0,3,"1",1,7,2,0,3.25809653802148,3993,15.5572341874912,"1",0,"1"
"110",19,"0",6,0,0,0,0,"1",0,0,2,"0",1,0,2,0,5.67675380226828,4823,12.267807239335,"1",4,"0"
"111",23,"0",12,0,0,0,0,"1",0.068493151,0,3,"0",1,3,3,0,5.62762111369064,11046,6.3026189757449,"0",6,"0"
"112",15,"0",14,1,0,0,0,"1",0.107142857,0,2,"0",0,3,3,0,5.85220247977447,2939,0,"1",0,"1"
"113",13,"0",14,0,0,0,0,"0",0,0,1,"0",0,2,1,0,7.94661756324447,3385,9.40763263969996,"1",5,"0"
"114",20,"0",10,0,0,0,0,"1",0,0,3,"0",0,1,4,0,6.24997524225948,7802,0,"1",5,"1"
"116",22,"0",7,1,0,0,0,"0",0,0,2,"1",0,3,3,0,4.7361984483945,5366,15.1798381567361,"0",2,"0"
"117",19,"1",11,2,1,0,0,"0",0.244444444,0,3,"0",1,12,3,1,4.38202663467388,2112,0,"1",1,"1"
"118",15,"1",9,0,0,0,0,"1",0.155555556,0,3,"0",1,1,3,0,5.01727983681492,7156,7.72885582385254,"0",3,"0"
"119",20,"0",9,1,0,0,0,"1",0.036363636,0.05,3,"0",0,4,3,0,7.0604763659998,7602,11.8863975438422,"0",4,"0"
"120",12,"0",12,1,0,0,0,"1",0.076923077,0.166666667,3,"0",0,4,2,0,5.44241771052179,135,0,"1",0,"1"
"121",33,"0",7,0,1,0,0,"1",0.073170732,0.090909091,2,"1",0,4,5,0,6.46925031679577,1546,8.44891435066294,"1",2,"1"
"122",25,"1",10,0,0,0,0,"0",0.169014085,0,2,"1",0,0,3,0,5.88332238848828,7,0,"1",0,"1"
"125",30,"0",8,0,0,0,0,"1",0.204545455,0.1,2,"0",1,1,3,0,5.20948615284142,184,0,"1",0,"1"
"126",16,"0",16,1,0,1,1,"1",0.052631579,0,3,"1",0,8,2,2,5.04342511691925,2403,13.6161250363124,"0",3,"1"
"128",20,"0",11,0,0,0,0,"1",0.070707071,0,3,"0",1,4,2,0,4.72738781871234,254,0,"0",0,"1"
"129",20,"0",11,1,0,0,0,"1",0,0,2,"1",0,3,3,1,5.13579843705026,6041,0,"1",1,"1"
"130",17,"0",8,1,0,0,0,"0",0,0,3,"0",2,3,3,0,7.52185925220163,7284,7.93343838762749,"1",7,"0"
"134",20,"0",14,0,1,0,0,"0",0,0,2,"0",0,3,3,0,7.69757534680234,8024,11.389989174073,"0",5,"0"
"135",18,"0",21,1,2,0,0,"0",0.049180328,0,2,"0",0,3,3,0,6.85329909318608,5993,8.61050136854989,"0",7,"0"
"137",37,"0",11,0,0,0,0,"0",0.086956522,0.108108108,3,"1",1,2,2,0,0,725,10.0833895178113,"1",1,"1"
"138",29,"0",5,0,0,0,0,"1",0,0,2,"0",1,0,8,0,5.92692602597041,7295,0,"1",5,"1"
"139",23,"0",6,1,0,0,0,"1",0,0,2,"0",0,4,3,0,5.57972982598622,3754,15.1630061369055,"0",4,"0"
"141",6,"0",9,0,0,0,0,"0",0,0,2,"0",0,0,3,1,5.62040086571715,3743,0,"1",2,"1"
"142",19,"0",8,1,0,0,0,"1",0,0,3,"0",0,4,3,0,4.14313472639153,5416,12.9831656758154,"0",3,"0"
"143",35,"0",8,0,0,0,0,"1",0.093023256,0.114285714,3,"0",0,0,4,1,5.67332326717149,1901,0,"1",0,"1"
"144",8,"0",4,0,0,0,0,"1",0,0,1,"0",0,0,5,0,4.40671924726425,3937,0,"0",2,"0"
"145",10,"0",10,1,0,0,0,"1",0.071428571,0,3,"0",2,3,1,0,6.90975328164481,6668,14.3330559534072,"1",4,"0"
"146",15,"0",9,0,0,0,0,"1",0,0,1,"0",1,1,3,0,8.19478163844336,4413,12.3275200702159,"0",5,"0"
"147",27,"0",11,1,0,0,0,"1",0,0,3,"0",0,3,2,0,5.89164421182577,3983,0,"1",0,"1"
"149",13,"0",7,0,0,0,0,"0",0,0,1,"1",0,0,1,0,5.62040086571715,2647,0,"0",1,"1"
"150",15,"0",10,1,0,0,0,"0",0.020408163,0,2,"0",0,3,1,0,4.0943445622221,9285,4.80402104473326,"0",7,"0"
"151",25,"0",8,0,0,0,0,"1",0.020833333,0,3,"0",1,2,3,0,5.86929691313377,8047,7.36391350140582,"0",5,"0"
"152",25,"0",15,1,1,0,0,"1",0.037037037,0,3,"1",1,4,2,3,5.30330490805908,531,0,"1",0,"1"
"153",20,"0",7,0,0,1,0,"1",0,0,2,"0",0,2,4,0,0,1028,0,"1",0,"1"
"154",20,"0",13,1,0,0,0,"1",0,0,3,"0",2,4,3,0,4.98360662170834,5334,13.9440356901526,"1",4,"0"
"155",17,"0",7,1,0,0,0,"1",0,0,2,"0",2,3,3,0,4.24849524204936,7602,14.6777298241147,"1",4,"0"
"156",19,"0",7,1,0,0,0,"0",0,0,2,"1",0,4,3,0,5.08759633523238,6460,13.9287481676955,"0",4,"0"
"157",14,"0",6,0,0,0,0,"0",0.060606061,0,2,"0",0,2,3,1,7.79605797431612,1953,8.38160253710989,"1",3,"1"
"159",18,"0",12,1,0,0,0,"0",0,0,2,"0",0,3,2,0,6.89264164117209,5224,4.9272536851572,"0",8,"0"
"161",29,"0",7,0,0,0,0,"0",0.131578947,0.172413793,2,"1",0,1,6,0,5.18178355029209,189,0,"1",2,"1"
"162",22,"0",12,1,0,0,0,"1",0,0,2,"0",2,3,3,2,2.07944154167984,6203,10.5549269296963,"1",5,"0"
"164",17,"0",12,1,0,0,0,"1",0,0,3,"0",0,5,2,0,3.76120011569356,1785,15.8711548017649,"1",2,"1"
"165",18,"0",7,0,0,0,0,"0",0.051282051,0,2,"0",1,0,2,0,6.77308037565554,6431,9.64794993341091,"1",5,"0"
"166",15,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,5.71373280550937,2254,12.2984649360695,"0",4,"0"
"168",7,"0",9,0,0,0,0,"0",0.128205128,0,2,"0",0,0,3,0,5.50533153593236,9253,9.97780621677843,"0",6,"0"
"169",22,"1",8,1,0,0,0,"1",0.35483871,0,3,"1",1,5,3,0,2.94443897916644,5825,0,"1",0,"1"
"170",13,"0",8,0,0,0,0,"1",0,0,2,"0",1,1,3,2,5.68017260901707,1899,13.1377878069136,"1",1,"1"
"171",31,"0",6,0,0,0,0,"0",0,0,2,"0",0,0,8,0,5.92692602597041,7295,0,"1",5,"1"
"172",26,"0",9,1,0,0,0,"1",0,0,3,"1",0,3,3,0,5.57215403217776,4120,13.3571745959862,"0",3,"0"
"173",12,"0",12,1,0,0,0,"0",0.06779661,0,2,"0",1,3,3,0,5.90536184805457,3650,8.861350110796,"1",5,"0"
"174",20,"0",9,1,1,0,0,"0",0,0,3,"0",0,3,1,0,8.15593633797239,8044,7.85593219971861,"0",6,"0"
"175",25,"0",8,1,0,0,0,"1",0.057692308,0.04,2,"1",1,3,2,0,0,6831,0,"1",0,"1"
"176",15,"0",8,0,1,0,0,"1",0,0,2,"1",1,0,2,0,4.74493212836325,3904,0,"1",0,"1"
"177",42,"0",13,0,0,0,0,"1",0.127659574,0.071428571,3,"0",1,6,2,0,5.63121178182137,4183,0,"1",3,"1"
"178",15,"0",9,1,1,0,0,"1",0,0,3,"0",1,4,3,0,6.25382881157547,2403,11.0394759053202,"0",3,"0"
"180",27,"0",13,0,0,0,0,"0",0.132352941,0,2,"0",0,2,1,1,8.11790894238315,7968,6.7945865808765,"0",7,"1"
"181",24,"1",13,0,2,0,0,"0",0.159574468,0,3,"0",1,2,3,1,7.99833539595298,8346,0.693147180559945,"0",10,"1"
"183",11,"0",6,0,0,0,0,"1",0.157894737,0.272727273,2,"0",0,0,1,0,5.73009978297357,1154,0,"1",0,"1"
"184",22,"0",7,0,0,0,0,"1",0.028571429,0.045454545,2,"1",0,0,1,0,3.80666248977032,3608,0,"1",0,"1"
"185",26,"0",10,0,0,0,0,"1",0,0,3,"0",0,1,3,0,3.95124371858143,2870,0,"1",2,"1"
"186",21,"0",9,1,0,0,0,"1",0.075471698,0,2,"0",1,5,3,0,5.47227067367148,5972,0,"1",0,"1"
"187",44,"0",15,0,0,0,0,"1",0,0,3,"0",0,2,1,1,5.43372200355424,5616,0,"1",5,"1"
"188",27,"0",5,0,0,0,0,"0",0.114285714,0.148148148,2,"0",1,0,8,0,0,6381,0,"1",3,"1"
"189",14,"0",16,2,0,0,1,"0",0.066666667,0,3,"0",0,15,1,0,7.99799931797973,8348,0.693147180559945,"0",10,"1"
"190",13,"0",7,0,0,0,0,"0",0,0,1,"0",0,1,5,0,7.23345541862144,4825,11.7621733149039,"0",5,"0"
"191",40,"1",11,0,0,0,0,"1",0.486666667,0,3,"0",0,17,3,0,5.8406416573734,4405,0,"1",0,"1"
"192",22,"0",9,1,0,0,0,"1",0,0,3,"0",1,3,2,0,5.08759633523238,570,0,"1",2,"1"
"193",15,"0",13,1,0,0,0,"1",0,0,2,"1",0,3,3,2,0,3381,15.6465056440807,"1",2,"1"
"194",20,"1",17,1,0,0,0,"0",0.160377358,0,3,"0",0,6,1,0,6.0730445341004,4681,15.3634774529902,"0",3,"1"
"196",16,"0",12,0,0,0,0,"0",0,0,2,"0",0,1,2,0,6.80461452006262,7133,2.56494935746154,"0",7,"0"
"197",14,"0",13,1,0,0,0,"1",0.033333333,0.142857143,3,"1",0,3,2,3,5.58724865840025,2290,16.1881109595782,"1",2,"1"
"198",14,"0",6,0,0,0,0,"1",0,0,1,"0",2,0,2,0,5.30330490805908,896,0,"1",0,"1"
"199",21,"0",7,1,0,0,0,"1",0.128205128,0,2,"0",1,5,3,0,7.53155238140729,6901,9.35079772467144,"0",5,"0"
"200",15,"0",9,1,0,0,0,"1",0,0,3,"1",0,3,3,0,4.77912349311153,3899,12.244836523581,"0",4,"0"
"202",15,"0",10,1,0,0,0,"0",0,0,2,"1",0,3,2,0,5.83773044716594,9224,9.81939917215384,"0",5,"0"
"204",24,"0",6,0,0,0,0,"0",0,0,2,"0",0,4,9,0,6.3750248198281,7449,0,"0",8,"0"
"205",27,"1",15,0,0,0,0,"1",0.076271186,0,3,"0",1,12,4,0,7.68937110752969,7287,0,"0",4,"0"
"206",20,"0",5,0,0,0,0,"1",0,0,1,"0",1,0,6,0,0,2625,15.9639762873074,"0",2,"0"
"207",16,"0",16,0,0,0,0,"1",0.166666667,0,3,"0",0,5,1,0,6.20657592672493,11192,7.2902928824466,"0",6,"0"
"208",27,"0",7,0,0,0,0,"1",0.028571429,0.037037037,2,"1",1,3,5,0,4.43081679884331,2839,0,"1",2,"1"
"210",39,"0",13,0,0,0,0,"1",0.0625,0.102564103,3,"0",0,2,1,2,5.43372200355424,5615,0,"1",5,"1"
"211",29,"0",7,0,0,0,0,"0",0.078947368,0.103448276,2,"1",0,0,6,0,5.18178355029209,189,0,"1",2,"1"
"212",15,"0",7,1,0,0,0,"0",0,0,3,"0",0,4,3,0,7.10167597161944,4996,12.1000230035905,"0",4,"0"
"213",15,"0",9,1,0,0,0,"1",0,0,3,"0",1,5,3,0,4.85203026391962,3526,10.0878071119928,"0",5,"0"
"214",50,"1",14,0,1,0,0,"0",0.166666667,0,3,"1",0,8,2,0,3.25809653802148,3993,15.5572341874912,"1",0,"1"
"215",16,"0",8,0,0,0,0,"0",0,0,2,"0",0,0,2,0,6.80903930604298,7130,2.56494935746154,"0",7,"0"
"216",16,"0",9,0,0,0,0,"0",0,0,2,"0",0,1,2,0,6.80461452006262,7134,2.63905732961526,"0",7,"0"
"217",21,"0",6,1,0,0,0,"1",0,0,2,"0",0,4,3,0,4.74493212836325,3904,0,"0",2,"0"
"218",15,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,7.96032362914884,2980,13.9708839185841,"0",2,"0"
"219",17,"0",10,1,0,0,0,"0",0.02,0.058823529,3,"0",0,4,3,2,7.44073370738926,7427,5.26785815906333,"0",7,"0"
"222",15,"1",12,0,0,0,0,"1",0.196078431,0,1,"1",1,8,2,3,4.98360662170834,2047,0,"1",0,"1"
"223",23,"0",6,1,0,0,0,"1",0.064516129,0.086956522,2,"0",0,3,3,0,6.20859002609663,2425,0,"0",2,"0"
"225",16,"0",15,1,0,0,0,"0",0.102564103,0,2,"0",0,5,2,0,6.23048144757848,6068,8.34569287325387,"0",4,"0"
"227",12,"1",7,1,0,0,0,"1",0.212121212,0,2,"0",2,4,3,0,7.14045304310116,8965,4.26267987704132,"0",8,"0"
"228",12,"0",7,0,0,0,0,"1",0,0,1,"1",0,1,3,0,6.58479139238572,7,0,"0",0,"1"
"230",20,"0",7,1,0,0,0,"0",0,0,2,"0",0,3,3,0,6.17378610390194,6096,11.3323264237941,"0",4,"0"
"231",21,"0",6,0,0,0,0,"1",0,0,2,"0",0,0,3,0,7.47760424319759,5903,0,"0",4,"0"
"232",24,"1",9,0,0,0,0,"1",0.107843137,0,3,"0",0,3,1,0,5.38449506278909,5627,0,"0",5,"1"
"233",18,"0",8,1,0,0,0,"1",0,0,2,"0",1,3,3,0,5.4380793089232,4153,11.7305739460025,"1",4,"0"
"235",17,"0",19,0,0,0,0,"1",0.079207921,0,2,"0",1,1,2,0,4.77068462446567,9744,6.87005341179813,"0",7,"0"
"236",28,"0",10,1,0,0,0,"1",0,0,3,"0",0,5,3,0,4.8283137373023,3163,14.0954388977736,"0",4,"0"
"238",10,"0",5,0,0,0,0,"0",0,0,1,"0",0,0,6,0,6.72743172485086,2088,0,"1",0,"1"
"239",15,"0",43,1,0,0,0,"0",0.262773723,0,3,"0",0,4,2,0,5.39816270151775,4162,12.8374561182615,"1",5,"0"
"242",21,"0",13,0,1,0,0,"1",0.011235955,0,3,"0",0,0,3,4,5.18738580584075,918,0,"1",0,"1"
"243",19,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,6.52795791762255,5890,14.7266017958671,"0",3,"0"
"244",26,"0",7,0,1,0,0,"1",0.020408163,0,3,"0",1,3,3,0,5.86929691313377,8046,7.36391350140582,"0",5,"0"
"245",36,"0",10,0,0,0,0,"0",0.066666667,0.083333333,3,"0",0,3,1,1,5.43372200355424,5616,0,"1",5,"1"
"246",22,"0",6,0,0,0,0,"1",0,0,2,"0",1,0,8,0,3.61091791264422,5442,0,"0",2,"1"
"247",10,"0",9,0,0,0,0,"1",0,0,2,"1",0,1,2,2,4.60517018598809,3188,16.0999557126284,"1",2,"1"
"249",16,"0",13,0,1,0,0,"1",0,0,3,"1",0,0,2,1,6.0088131854426,3977,0,"1",2,"1"
"250",18,"0",6,0,0,0,0,"1",0.076923077,0.111111111,2,"0",0,0,3,0,5.89989735358249,1,0,"1",0,"1"
"251",20,"1",12,1,0,0,0,"0",0.108433735,0,2,"0",0,3,3,0,5.29831736654804,4549,4.99043258677874,"0",7,"0"
"252",28,"0",7,0,0,0,0,"0",0,0,2,"1",1,0,3,0,5.89715386763674,1,16.0832181404311,"1",0,"1"
"253",12,"1",7,1,0,0,0,"1",0.212121212,0,2,"0",2,3,3,0,7.13727843726039,8969,4.26267987704132,"0",8,"0"
"254",18,"0",7,1,0,0,0,"1",0,0,2,"0",1,3,3,0,5.68357976733868,9205,6.5410299991899,"0",6,"0"
"255",18,"0",11,1,0,0,0,"1",0,0,2,"1",0,3,3,0,7.59839932932396,8697,10.1510505083911,"1",5,"0"
"257",33,"0",11,1,0,0,0,"1",0,0,3,"0",1,3,3,0,5.68357976733868,4821,11.9302005598378,"0",3,"0"
"260",16,"0",7,1,0,0,0,"0",0,0,2,"0",0,4,3,0,7.9402277651457,8517,2.19722457733622,"0",10,"0"
"261",16,"0",8,1,1,0,0,"0",0,0,2,"0",0,3,3,0,6.80350525760834,3118,5.55682806169954,"0",7,"0"
"262",22,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,5.8636311755981,7318,9.87673281522731,"0",5,"0"
"263",32,"0",6,0,0,0,0,"0",0.097560976,0.125,2,"0",0,1,8,0,5.92692602597041,7295,0,"1",5,"1"
"264",24,"0",6,1,0,0,0,"0",0,0,2,"0",0,4,3,0,5.23644196282995,6022,15.2558453242054,"0",2,"0"
"265",23,"0",6,0,0,0,0,"0",0,0,1,"1",0,2,6,0,5.89715386763674,1,0,"1",0,"1"
"266",30,"0",11,1,0,0,0,"1",0.03030303,0,3,"1",0,3,1,0,5.73009978297357,3346,0,"0",1,"0"
"268",20,"0",8,0,0,0,0,"0",0,0,2,"0",0,3,4,0,6.81014245011514,7129,2.56494935746154,"0",7,"0"
